Parameter,Value,Lower,Upper,Opt.
BETA,1,1,1,false
FPOL,0.9087889430359601,0.2,2,true
RAVG,1.1,0.5,2,false
REFF,1.1566674190323565,0.5,2,true
CHB,15020.482268714331,5000,30000,true
CHB2,14171.015505397998,5000,30000,false
CHB3,9327.21165335225,5000,30000,true
CHB4,14171.015505397998,5000,30000,false
CHB5,14171.015505397998,5000,30000,false
CHB6,6866.667164857075,5000,30000,true
CHB7,4642.642078563898,5000,30000,true
CHB8,14171.015505397998,5000,30000,false
SIGMAHB,0.007700441517255139,0.005,0.015,true
